,Region,Most Represented Topics,Least Represented Topics,Least Represented Topic Scores,Most Represented Topic Scores
0,East Asia & Pacific,"['85', '94', '115', '37', '54']","['52', '3', '62', '28', '26']","[0.0012790598643274138, 0.0019012113131173845, 0.0024233691028078238, 0.0033076590892319848, 0.0034898577540005355]","[0.029919918965273615, 0.025302538289279666, 0.02251737752902819, 0.020138176837215572, 0.017888351018899844]"
1,Europe & Central Asia,"['85', '91', '109', '107', '37']","['62', '4', '71', '3', '52']","[0.001268667576985157, 0.0016751254561732376, 0.0021281806163394703, 0.002434030274360726, 0.0024522568797632513]","[0.03281065592334675, 0.028149835940147142, 0.027880405481080825, 0.025389065041932744, 0.024748494961202735]"
2,Latin America & Caribbean,"['85', '93', '6', '68', '54']","['62', '104', '95', '28', '4']","[0.0023121047489378893, 0.0026826892122724637, 0.0027678464970715163, 0.0028340644710535905, 0.0030015573010241056]","[0.030612969080297005, 0.01972489074216009, 0.019582096710157888, 0.019227272274809127, 0.01813573905762137]"
3,Middle East & North Africa,"['6', '85', '31', '54', '115']","['56', '62', '3', '84', '52']","[0.0015599746270146993, 0.001651393650756785, 0.0018226454379323025, 0.002012111620327729, 0.002229449448605811]","[0.03308693724258378, 0.029831000776194626, 0.027705790791885884, 0.025287329512867204, 0.021505064779907636]"
4,North America,"['85', '91', '37', '107', '109']","['62', '52', '105', '71', '56']","[0.0010280383064292318, 0.0020573331004631974, 0.002352036592921273, 0.0026430273775129693, 0.0032070049459537254]","[0.03217953297769784, 0.02529804332072385, 0.0240189987632155, 0.02276933787682913, 0.021645865838284827]"
5,South Asia,"['85', '31', '25', '34', '83']","['3', '56', '95', '4', '41']","[0.0008864687592095798, 0.0011992914221140058, 0.002131056145275924, 0.002221194194786788, 0.0022837823341054797]","[0.033014387424207946, 0.029991591004537497, 0.026375073800685704, 0.025948866017475918, 0.025719623376178443]"
6,Sub-Saharan Africa,"['34', '85', '83', '37', '31']","['4', '3', '56', '82', '62']","[0.0009268889980385716, 0.0010158731888778405, 0.0012373181634893519, 0.0013455171605215232, 0.0014008013544031797]","[0.060128663877778675, 0.04168575216602268, 0.039733085571598166, 0.03085554684367377, 0.030288377000479826]"
7,Unknown,"['85', '91', '109', '37', '119']","['4', '52', '38', '28', '36']","[0.001208658382117554, 0.001516660283647339, 0.0020467871399286745, 0.0020771246095853623, 0.002120496620214468]","[0.03697369260913829, 0.03677735961916654, 0.025941574638785287, 0.025533423589352858, 0.025529378288116657]"
