,id,comp-1,comp-2,first_author_female,last_author_female,majority_female_binary,topic,climatejusticescore
6960,444981,-31.89304,6.6202354,0.0,0.0,0.0,Topic90,0.0666958523500904
6961,445003,-5.3228197,55.272717,0.0,0.0,unknown,Topic3,0.017570732337003
6962,445029,-21.238583,7.2127585,0.0,0.0,unknown,Topic112,0.20842184338431402
6963,445034,-16.119207,14.295493,0.0,0.0,0.0,Topic24,0.01608356757347553
6964,445156,-26.96433,-19.760927,0.0,0.0,0.0,Topic54,0.013647040159119498
6965,445167,15.621545,4.333116,0.0,0.0,0.0,Topic18,0.0444377568169209
6966,445331,-5.5823135,-19.591818,0.0,0.0,0.0,Topic108,0.014290180703475552
6967,445334,-5.1572638,-22.160343,0.0,1.0,0.0,Topic54,0.010897846063305499
6968,445366,10.441177,-8.709178,1.0,1.0,1.0,Topic48,0.3058982760628148
6969,445576,-15.215314,13.124624,0.0,0.0,0.0,Topic92,0.013042053206434066
6970,445598,-2.3193245,21.337168,0.0,unknown,unknown,Topic9,0.36692088507476683
6971,445651,-15.531405,-25.19631,0.0,1.0,0.0,Topic6,0.069159313231275
6972,445679,14.847832,15.893541,0.0,0.0,0.0,Topic50,0.4785658624729355
6973,445872,-3.3665643,-2.9951684,1.0,0.0,0.0,Topic21,0.39078384634326235
6974,446100,45.726242,7.9369483,1.0,1.0,1.0,Topic80,0.5523609736411125
6975,446231,0.37696683,31.818474,0.0,0.0,1.0,Topic35,0.25170423703516054
6976,446256,-30.25743,-11.427075,0.0,0.0,0.0,Topic54,0.021299008172979236
6977,446280,0.2091261,30.622625,unknown,0.0,unknown,Topic35,0.1822583990840436
6978,446465,-36.26629,40.9679,0.0,1.0,0.0,Topic7,0.02632927301323869
6979,446822,0.47390574,-36.238075,unknown,0.0,unknown,Topic114,0.09887800182744251
6980,446833,-50.514763,-1.101923,0.0,0.0,0.0,Topic71,0.0115347305779916
6981,447022,11.60969,33.489384,1.0,0.0,unknown,Topic84,0.1083291246097915
6982,447054,-30.253057,30.905401,0.0,0.0,0.0,Topic29,0.029677908854378043
6983,447100,37.518772,9.022741,0.0,1.0,0.0,Topic80,0.27472402513457655
6984,447143,22.727844,-0.6405131,1.0,0.0,0.0,Topic86,0.23192207838039627
6985,447203,38.893982,21.833826,0.0,0.0,0.0,Topic119,0.8156635456921129
6986,447314,25.815838,41.674023,1.0,1.0,1.0,Topic10,0.1241875842813851
6987,447344,2.690298,33.96117,1.0,1.0,0.0,Topic86,0.04754038390340984
6988,447385,-34.82804,-34.62183,1.0,0.0,0.0,Topic6,0.0408039816030039
6989,447555,27.030136,6.9986773,1.0,1.0,1.0,Topic37,0.3074434209673069
6990,447627,14.629188,14.67104,1.0,1.0,1.0,Topic50,0.3838408629291755
6991,447646,22.584814,-31.25246,unknown,0.0,unknown,Topic106,0.10395858793467588
6992,447805,-0.50448054,-24.853855,0.0,0.0,0.0,Topic24,0.03132870846239043
6993,447942,-22.142513,-24.903189,1.0,0.0,0.0,Topic54,0.0240192947776304
6994,448041,-9.188802,-7.2967067,1.0,1.0,0.0,Topic105,0.017843690375763485
6995,448108,-24.349092,34.459034,0.0,0.0,0.0,Topic51,0.019216952893908904
6996,448215,26.166039,28.058968,1.0,1.0,1.0,Topic91,0.4501911011482602
6997,448218,24.272413,-33.156635,0.0,0.0,0.0,Topic106,0.19716985920304006
6998,448235,-26.66904,39.950657,0.0,0.0,0.0,Topic66,0.037089085608201205
6999,448266,39.965897,-26.950289,unknown,0.0,unknown,Topic34,0.20076233583458108
7000,448320,20.415321,42.405704,unknown,unknown,unknown,Topic10,0.11793903769397
7001,448459,11.809414,30.207283,1.0,1.0,1.0,Topic98,0.1536900650124833
7002,448468,6.361044,-16.886774,0.0,0.0,0.0,Topic33,0.056118928945025494
7003,448472,-2.1922522,22.206964,1.0,0.0,0.5,Topic9,0.2927800589120844
7004,448605,33.599434,12.601157,1.0,1.0,1.0,Topic91,0.45677400679457486
7005,448674,-4.7208343,55.197285,0.0,1.0,0.0,Topic3,0.0871397118354853
7006,448719,-6.5299516,21.356256,1.0,0.0,0.0,Topic9,0.112157926672422
7007,448768,-7.4504633,-4.8646026,0.0,1.0,0.5,Topic105,0.0734995741608873
7008,448784,30.276958,-18.954004,0.0,0.0,0.0,Topic25,0.34282469321158354
7009,448849,-27.230436,-22.726202,0.0,0.0,0.0,Topic59,0.354675261938715
7010,448889,33.066086,28.328339,1.0,1.0,1.0,Topic91,0.605780741764917
7011,449076,17.255997,-13.217155,1.0,0.0,0.5,Topic107,0.010863641693348575
7012,449078,-6.4228687,43.760098,0.0,0.0,0.0,Topic68,0.056352087435144076
7013,449133,26.03556,-0.20993456,0.0,0.0,0.0,Topic50,0.5044986319119864
7014,449221,6.6166697,-38.378094,unknown,1.0,unknown,Topic77,0.1459553344284432
7015,449343,-37.883648,-10.547612,1.0,1.0,1.0,Topic116,0.039859227873817196
7016,449581,-2.9715111,34.99578,0.0,1.0,0.0,Topic68,0.06387444899252011
7017,449724,44.570663,8.495026,unknown,0.0,unknown,Topic80,0.41692735024174005
7018,449727,-16.651323,46.26388,0.0,1.0,0.5,Topic23,0.03253640647467951
7019,449816,20.240734,42.100037,0.0,0.0,0.0,Topic10,0.12308014896016439
7020,449952,45.679306,-1.0232228,1.0,1.0,1.0,Topic81,0.43267926265611545
7021,450053,39.458008,13.036408,unknown,1.0,unknown,Topic44,0.3182127753945737
7022,450140,34.91251,-27.471672,1.0,1.0,1.0,Topic103,0.10421306460650079
7023,450155,-22.231773,-24.389404,0.0,0.0,0.0,Topic11,0.007890933017137641
7024,450187,24.310572,-6.548038,0.0,1.0,0.5,Topic12,0.44124496423992826
7025,450443,-5.677667,-40.052177,unknown,unknown,unknown,Topic11,0.040329327386456504
7026,450450,-6.8100367,-18.66303,0.0,0.0,unknown,Topic108,0.026113708655416804
7027,450460,-1.4099649,-29.032494,1.0,1.0,0.0,Topic103,0.221723880405407
7028,450461,-2.1914086,-34.939236,0.0,0.0,0.0,Topic114,0.012920416343310155
7029,450550,1.393468,30.56464,0.0,unknown,0.0,Topic35,0.1991389104057105
7030,450582,18.502144,2.8898535,0.0,0.0,0.0,Topic85,0.24478250530181625
7031,450656,0.44733366,25.318464,1.0,1.0,1.0,Topic9,0.1549177405694395
7032,450678,-14.976493,27.902803,0.0,1.0,unknown,Topic97,0.0327018909888139
7033,450714,13.220356,27.053478,unknown,unknown,unknown,Topic78,0.1844697360662792
7034,450735,36.58927,11.317302,unknown,0.0,unknown,Topic44,0.35580645289267343
7035,450746,4.3201113,34.245018,1.0,0.0,unknown,Topic35,0.0722100425327736
7036,450753,27.761503,20.931719,1.0,unknown,1.0,Topic91,0.4042220175384467
7037,450780,1.5946786,18.628557,unknown,unknown,unknown,Topic53,0.3432276650435654
7038,450900,32.827442,9.273196,0.0,0.0,0.0,Topic102,0.2259711809865827
7039,450978,29.535376,-9.159679,1.0,unknown,1.0,Topic89,0.4729846356503113
7040,451067,0.11679594,35.96004,0.0,0.0,0.0,Topic35,0.0937684051485147
7041,451108,-2.535315,-8.997724,0.0,0.0,unknown,Topic46,0.037514335089175996
7042,451113,-9.438596,25.212034,unknown,1.0,unknown,Topic9,0.0550484767269846
7043,451220,-10.983646,-5.763664,unknown,0.0,unknown,Topic85,0.043677130439167294
7044,451237,-6.9713936,24.85588,unknown,0.0,unknown,Topic9,0.026058569817893635
7045,451337,-46.558064,-12.6297245,1.0,1.0,unknown,Topic31,0.0541072331144669
7046,451482,0.8408092,-24.5437,0.0,1.0,unknown,Topic24,0.15046613369373485
7047,451627,10.241238,-27.24836,0.0,0.0,0.0,Topic65,0.27885942969785
7048,451680,-3.5741613,-26.086607,0.0,unknown,0.0,Topic57,0.1685583566963222
7049,451712,-29.033028,8.393417,unknown,0.0,unknown,Topic60,0.04926113937986279
7050,451726,-37.0589,26.599651,1.0,unknown,unknown,Topic93,0.062555874848472
7051,451734,25.886171,-19.06895,0.0,1.0,0.5,Topic25,0.4966527905898737
7052,451928,17.627602,0.43275172,0.0,0.0,0.5,Topic85,0.1336908048109932
7053,452063,-25.97935,-24.999063,0.0,0.0,unknown,Topic6,0.030378515173289586
7054,452109,-34.896317,-11.578898,unknown,0.0,unknown,Topic54,0.04912394414847174
7055,452139,-1.3786258,6.772515,0.0,0.0,0.0,Topic10,0.037402485741036
7056,452256,22.343872,0.18696412,0.0,0.0,0.0,Topic86,0.2662803573452219
7057,452331,23.809372,24.517265,0.0,0.0,0.0,Topic119,0.40000051069637
7058,452402,0.7000113,30.51833,0.0,0.0,unknown,Topic102,0.102691691562129
7059,452406,32.383083,10.312382,0.0,0.0,0.0,Topic102,0.2004521498745642
7060,452487,26.232723,19.248526,1.0,1.0,1.0,Topic91,0.4639848487748039
7061,452705,-34.809776,-5.9873643,0.0,0.0,0.0,Topic54,0.1392867207627697
7062,452824,-30.498705,-20.132275,1.0,0.0,unknown,Topic59,0.023584147129847015
7063,452914,5.8237014,18.823292,1.0,0.0,0.5,Topic46,0.48221251585247915
7064,453045,28.270021,-39.503654,1.0,1.0,unknown,Topic32,0.19604327224891221
7065,453131,24.939037,11.969625,1.0,1.0,0.5,Topic37,0.2601118051552306
7066,453144,34.17987,0.28677115,0.0,0.0,0.0,Topic119,0.55673282577767
7067,453169,13.821071,48.57152,0.0,0.0,0.0,Topic49,0.049630422475418996
7068,453200,8.4831085,-9.627264,0.0,0.0,0.0,Topic48,0.09526307999185762
7069,453203,31.45718,9.827628,0.0,unknown,unknown,Topic37,0.33351734291729673
7070,453240,-5.211991,-13.048145,0.0,1.0,unknown,Topic95,0.019518820412144786
7071,453296,-52.085144,-0.16682014,0.0,1.0,1.0,Topic71,0.07405125434310388
7072,453393,22.551641,17.24983,0.0,0.0,0.0,Topic37,0.1842894037460631
7073,453399,-2.1073956,43.880867,1.0,1.0,0.0,Topic54,0.017829814747492095
7074,453515,51.742695,-2.7604685,unknown,0.0,unknown,Topic81,0.41327300648106724
7075,453877,7.732172,0.9452748,unknown,0.0,unknown,Topic107,0.0269447066919501
7076,453927,-19.812963,0.6559939,0.0,0.0,0.0,Topic46,0.0417429828517293
7077,453930,-29.870787,-9.491738,1.0,0.0,0.5,Topic64,0.012099139877192074
7078,453932,22.68693,1.7724928,0.0,1.0,0.5,Topic85,0.33762140215613107
7079,453956,9.612655,2.41385,1.0,1.0,1.0,Topic107,0.1429007667961673
7080,453984,7.1741,-22.857635,0.0,0.0,0.0,Topic39,0.08247586911456771
7081,454082,5.2894573,25.835161,0.0,0.0,unknown,Topic42,0.0343228513830887
7082,454154,28.35278,25.639778,0.0,0.0,0.0,Topic91,0.5673150370219692
7083,454173,-6.6438622,21.189684,0.0,0.0,0.0,Topic9,0.04451180117256379
7084,454344,47.854347,-2.9838245,0.0,unknown,unknown,Topic81,0.39152429960779545
